abandonné	abandonnée
conjoint	conjointe
conseiller	conseillère
conservateur	conservatrice
consommateur	consommatrice
constructeur	constructrice
conteur	conteuse
continental	continentale
contradicteur	contradictrice
contrôleur	contrôleuse
coopérant	coopérante
copain	copine
cordonnier	cordonnière
coréen	coréenne
cornichon	cornichonne
correspondant	correspondante
costumier	costumière
couard	couarde
coupeur	coupeuse
courageux	courageuse
coureur	coureuse
coursier	coursière
cousin	cousine
couturier	couturière
crâneur	crâneuse
créancier	créancière
créateur	créatrice
crémier	crémière
criminel	criminelle
critiqueur	critiqueuse
croyant	croyante
cueilleur	cueilleuse
cuisinier	cuisinière
cultivateur	cultivatrice
curieux	curieuse
damné	damnée
danseur	danseuse
daron	daronne
débitant	débitante
débiteur	débitrice
débrouillard	débrouillarde
débutant	débutante
déclarant	déclarante
décorateur	décoratrice
découpeur	découpeuse
défenseur	défenseuse
défunt	défunte
délinquant	délinquante
demandeur	demanderesse
demandeur	demandeuse
démolisseur	démolisseuse
démonteur	démonteuse
dénonciateur	dénonciatrice
dépanneur	dépanneuse
député	députée
descripteur	descriptrice
dessinateur	dessinatrice
destinateur	destinatrice
destructeur	destructrice
détenteur	détentrice
développeur	développeuse
dévoreur	dévoreuse
diable	diablesse
diagnosticien	diagnosticienne
diagnostiqueur	diagnostiqueuse
dictateur	dictatrice
dieu	déesse
dîneur	dîneuse
diplômé	diplômée
directeur	directrice
dirigeant	dirigeante
distrait	distraite
distributeur	distributrice
divorcé	divorcée
docteur	docteure
docteur	doctoresse
doctorant	doctorante
dominateur	dominatrice
donateur	donatrice
donneur	donneuse
dormeur	dormeuse
douanier	douanière
dresseur	dresseuse
drogué	droguée
droitier	droitière
écolier	écolière
écrivain	écrivaine
écuyer	écuyère
éducateur	éducatrice
égal	égale
électeur	électrice
électricien	électricienne
électronicien	électronicienne
éléphant	éléphante
éleveur	éleveuse
élu	élue
émetteur	émettrice
émigrant	émigrante
émigré	émigrée
emmerdeur	emmerdeuse
empereur	impératrice
employé	employée
employeur	employeuse
empoisonneur	empoisonneuse
empoté	empotée
emprunteur	emprunteuse
encadreur	encadreuse
enculeur	enculeuse
engagé	engagée
enjôleur	enjôleuse
ennemi	ennemie
enquêteur	enquêteuse
enquêteur	enquêtrice
enseignant	enseignante
entêté	entêtée
entraîneur	entraîneuse
entrepreneur	entrepreneuse
envahisseur	envahisseuse
épicier	épicière
éplucheur	éplucheuse
époux	épouse
espagnol	espagnole
espion	espionne
estivant	estivante
états-unien	états-unienne
étourdi	étourdie
étranger	étrangère
étrangleur	étrangleuse
étudiant	étudiante
européen	européenne
évadé	évadée
exagérateur	exagératrice
exécuteur	exécutrice
expéditeur	expéditrice
expérimentateur	expérimentatrice
exploitant	exploitante
explorateur	exploratrice
exposant	exposante
extravagant	extravagante
fabricant	fabricante
facteur	factrice
familier	familière
fautif	fautive
favori	favorite
fermier	fermière
festivalier	festivalière
fiancé	fiancée
filleul	filleule
flâneur	flâneuse
fondateur	fondatrice
fondeur	fondeuse
footballeur	footballeuse
footeux	footeuse
formateur	formatrice
fou	folle
fouetteur	fouetteuse
fournisseur	fournisseuse
franc	franque
français	française
frileux	frileuse
frimeur	frimeuse
frisé	frisée
fromager	fromagère
froussard	froussarde
fugitif	fugitive
fumeur	fumeuse
futé	futée
fuyard	fuyarde
gâcheur	gâcheuse
gagnant	gagnante
gallois	galloise
gamin	gamine
garant	garante
gaspilleur	gaspilleuse
gaucher	gauchère
géant	géante
gendarme	gendarmette
général	générale
géniteur	génitrice
gentil	gentille
gérant	gérante
gourmand	gourmande
goûteur	goûteuse
grammairien	grammairienne
graveur	graveuse
grec	grecque
gribouilleur	gribouilleuse
grignoteur	grignoteuse
grippé	grippée
gros	grosse
grutier	grutière
guérisseur	guérisseuse
guetteur	guetteuse
gueulard	gueularde
guichetier	guichetière
habitant	habitante
habitué	habituée
handicapé	handicapée
héritier	héritière
héros	héroïne
hétérosexuel	hétérosexuelle
heureux	heureuse
hollandais	hollandaise
homosexuel	homosexuelle
hospitalisé	hospitalisée
hôte	hôtesse
hôtelier	hôtelière
hypnotiseur	hypnotiseuse
idiot	idiote
ignorant	ignorante
imaginatif	imaginative
imitateur	imitatrice
immigré	immigrée
immortel	immortelle
impertinent	impertinente
importateur	importatrice
imprimeur	imprimeuse
inconnu	inconnue
inconscient	inconsciente
indien	indienne
indiscret	indiscrète
industriel	industrielle
infirmier	infirmière
informateur	informatrice
informaticien	informaticienne
ingénieur	ingénieure
ingrat	ingrate
initiateur	initiatrice
innocent	innocente
inscrit	inscrite
inspecteur	inspectrice
inspirateur	inspiratrice
installateur	installatrice
instituteur	institutrice
instructeur	instructrice
intellectuel	intellectuelle
interviewé	interviewée
intervieweur	intervieweuse
inventeur	inventrice
invité	invitée
irlandais	irlandaise
italien	italienne
ivrogne	ivrognesse
japonais	japonaise
jardinier	jardinière
jazzman	jazzwoman
jeûneur	jeûneuse
joaillier	joaillière
joggeur	joggeuse
joueur	joueuse
journaleux	journaleuse
judoka	judokate
juif	juive
jumeau	jumelle
karatéka	karatékate
kidnappé	kidnappée
kidnappeur	kidnappeuse
kiosquier	kiosquière
laboureur	laboureuse
laid	laide
lanceur	lanceuse
lapin	lapine
laveur	laveuse
lecteur	lectrice
législateur	législatrice
libérateur	libératrice
licencié	licenciée
lièvre	hase
lion	lionne
locuteur	locutrice
loup	louve
luthier	luthière
lycéen	lycéenne
maçon	maçonne
magicien	magicienne
magistrat	magistrate
maïsiculteur	maïsicultrice
maître	maîtresse
majeur	majeure
mal-aimé	mal-aimée
maladroit	maladroite
malchanceux	malchanceuse
malfaiteur	malfaitrice
malheureux	malheureuse
malin	maligne
mangeur	mangeuse
manieur	manieuse
maquilleur	maquilleuse
marathonien	marathonienne
marchand	marchande
marcheur	marcheuse
masseur	masseuse
mécanicien	mécanicienne
méchant	méchante
meilleur	meilleure
mendiant	mendiante
menteur	menteuse
menuisier	menuisière
merle	merlette
messager	messagère
meunier	meunière
meurtrier	meurtrière
mexicain	mexicaine
migraineux	migraineuse
mineur	mineure
miraculé	miraculée
moniteur	monitrice
montreur	montreuse
mort	morte
motard	motarde
mouchard	moucharde
mouton	brebis
muet	muette
musicien	musicienne
musulman	musulmane
nageur	nageuse
nain	naine
navigateur	navigatrice
néerlandais	néerlandaise
négociateur	négociatrice
nettoyeur	nettoyeuse
nippon	nippone
nord-américain	nord-américaine
nord-coréen	nord-coréenne
nouveau	nouvelle
noyé	noyée
nul	nulle
observateur	observatrice
obstiné	obstinée
occidental	occidentale
occupant	occupante
officiant	officiante
officier	officière
ogre	ogresse
opérateur	opératrice
opposant	opposante
orateur	oratrice
organisateur	organisatrice
orgueilleux	orgueilleuse
original	originale
orphelin	orpheline
ostréiculteur	ostréicultrice
ours	ourse
ouvrier	ouvrière
palefrenier	palefrenière
panseur	panseuse
papetier	papetière
paralysé	paralysée
parent	parente
paresseux	paresseuse
parfumeur	parfumeuse
parieur	parieuse
participant	participante
passager	passagère
passant	passante
passionné	passionnée
pasteur	pasteure
patient	patiente
patineur	patineuse
pâtissier	pâtissière
patron	patronne
paysan	paysanne
pécheur	pécheresse
pêcheur	pêcheuse
pensionné	pensionnée
perdant	perdante
perturbateur	perturbatrice
péteur	péteuse
petit	petite
peureux	peureuse
pharmacien	pharmacienne
piégeur	piégeuse
piéton	piétonne
pigeon	pigeonne
pipier	pipière
pisseur	pisseuse
plaideur	plaideuse
pleureur	pleureuse
plombier	plombière
plongeur	plongeuse
pochard	pocharde
pochetron	pochetronne
poète	poétesse
poissonnier	poissonnière
poivrot	poivrote
policier	policière
politicien	politicienne
pompier	pompière
porc	truie
porcher	porchère
portugais	portugaise
postier	postière
pouilleux	pouilleuse
poulain	pouliche
poulet	poulette
poursuivant	poursuivante
préfet	préfète
président	présidente
prêteur	prêteuse
prêtre	prêtresse
prince	princesse
principal	principale
priseur	priseuse
prisonnier	prisonnière
procréateur	procréatrice
producteur	productrice
professeur	professeure
professionnel	professionnelle
promeneur	promeneuse
promis	promise
prophète	prophétesse
protecteur	protectrice
protégé	protégée
protestant	protestante
provocateur	provocatrice
puîné	puînée
puni	punie
québécois	québécoise
questionneur	questionneuse
raccommodeur	raccommodeuse
raconteur	raconteuse
rameur	rameuse
randonneur	randonneuse
rat	rate
raté	ratée
ravisseur	ravisseuse
réalisateur	réalisatrice
récoltant	récoltante
récolteur	récolteuse
réconciliateur	réconciliatrice
recordman	recordwoman
recruteur	recruteuse
rédacteur	rédactrice
religieux	religieuse
remplaçant	remplaçante
renard	renarde
réparateur	réparatrice
répondant	répondante
reporteur	reportrice
représentant	représentante
républicain	républicaine
résidant	résidante
résident	résidente
résigné	résignée
ressortissant	ressortissante
restaurateur	restauratrice
rêveur	rêveuse
rhumatisant	rhumatisante
richard	richarde
rieur	rieuse
rigolo	rigolote
rival	rivale
riverain	riveraine
riziculteur	rizicultrice
rockeur	rockeuse
roi	reine
romancier	romancière
ronfleur	ronfleuse
rougeaud	rougeaude
roux	rousse
rugbyman	rugbywoman
rusé	rusée
saint	sainte
salarié	salariée
saoulard	saoularde
sapeur-pompier	sapeuse-pompière
savant	savante
savonnier	savonnière
scieur	scieuse
sculpteur	sculpteure
sculpteur	sculptrice
séducteur	séductrice
semeur	semeuse
sénateur	sénatrice
serveur	serveuse
shampouineur	shampouineuse
siffleur	siffleuse
singe	guenon
sinistré	sinistrée
skieur	skieuse
soiffard	soiffarde
soigneur	soigneuse
soixante-huitard	soixante-huitarde
soldat	soldate
sondé	sondée
soudeur	soudeuse
sourd	sourde
sous-préfet	sous-préfète
spectateur	spectatrice
sportif	sportive
sprinter	sprinteuse
sud-américain	sud-américaine
sud-coréen	sud-coréenne
suédois	suédoise
suicidé	suicidée
suisse	suissesse
sujet	sujette
supérieur	supérieure
suppliant	suppliante
surveillant	surveillante
survivant	survivante
suspect	suspecte
tailleur	tailleuse
taulard	taularde
téléspectateur	téléspectatrice
tennisman	tenniswoman
tentateur	tentatrice
terrien	terrienne
têtu	têtue
thésard	thésarde
tireur	tireuse
tisseur	tisseuse
toiletteur	toiletteuse
toilier	toilière
tousseur	tousseuse
traducteur	traductrice
trafiquant	trafiquante
traître	traîtresse
travailleur	travailleuse
trésorier	trésorière
tricheur	tricheuse
trieur	trieuse
truand	truande
tuberculeux	tuberculeuse
tueur	tueuse
turc	turque
usager	usagère
utilisateur	utilisatrice
vacancier	vacancière
vacher	vachère
vagabond	vagabonde
vaincu	vaincue
végétarien	végétarienne
vendeur	vendeuse
vengeur	vengeresse
vérificateur	vérificatrice
veuf	veuve
vieillard	vieillarde
vieux	vieille
vigneron	vigneronne
vilain	vilaine
villageois	villageoise
viniculteur	vinicultrice
vioc	vioque
visiteur	visiteuse
vivant	vivante
voisin	voisine
volé	volée
voleur	voleuse
volleyeur	volleyeuse
votant	votante
voyageur	voyageuse
voyant	voyante
