abbé	abbesse
coureur	coureuse
coursier	coursière
courtier	courtière
couseur	couseuse
cousin	cousine
couturier	couturière
coéquipier	coéquipière
cracheur	cracheuse
cravatier	cravatière
creton	cretonne
crieur	crieuse
crémier	crémière
cueilleur	cueilleuse
cuisinier	cuisinière
culottier	culottière
cultivateur	cultivatrice
curateur	curatrice
céphalé	céphalée
dalmatien	dalmatienne
danseur	danseuse
daron	daronne
dauphin	dauphine
demandeur	demanderesse
demandeur	demandeuse
heur	demi-heure
demi-mondain	demi-mondaine
demi-rond	demi-ronde
demi-ton	demi-tonne
damoiseau	demoiselle
dessinateur	dessinatrice
destinateur	destinatrice
devineur	devineresse
dialecticien	dialecticienne
dictateur	dictatrice
diffamateur	diffamatrice
diseur	diseuse
diviseur	diviseuse
diététicien	diététicienne
docteur	doctoresse
dompteur	dompteuse
donateur	donatrice
douairier	douairière
doubleur	doubleuse
doyen	doyenne
dragon	dragonne
dragueur	dragueuse
dresseur	dresseuse
duc	duchesse
débroussailleur	débroussailleuse
déchiqueteur	déchiqueteuse
déclamateur	déclamatrice
décodeur	décodeuse
déconneur	déconneuse
décorateur	décoratrice
découpeur	découpeuse
découvreur	découvreuse
défendeur	défenderesse
dégustateur	dégustatrice
délateur	délatrice
démarcheur	démarcheuse
démolisseur	démolisseuse
démon	démone
démonstrateur	démonstratrice
déménageur	déménageuse
dénicheur	dénicheuse
dépanneur	dépanneuse
dérouleur	dérouleuse
déterreur	déterreuse
dévoreur	dévoreuse
dîneur	dîneuse
effeuilleur	effeuilleuse
emballeur	emballeuse
embaumeur	embaumeuse
emboutisseur	emboutisseuse
empoisonneur	empoisonneuse
empêcheur	empêcheuse
enchérisseur	enchérisseuse
enquiquineur	enquiquineuse
enquêteur	enquêteuse
ensevelisseur	ensevelisseuse
entraîneur	entraîneuse
entremetteur	entremetteuse
entrepreneur	entrepreneuse
entreteneur	entreteneuse
escaladeur	escaladeuse
escroqueur	escroqueuse
espion	espionne
esthéticien	esthéticienne
estivant	estivante
ex-amant	ex-amante
ex-assistant	ex-assistante
ex-champion	ex-championne
ex-chanteur	ex-chanteuse
ex-danseur	ex-danseuse
ex-fiancé	ex-fiancée
ex-strip-teaseur	ex-strip-teaseuse
examinateur	examinatrice
excavateur	excavatrice
exciseur	exciseuse
exécuteur	exécutrice
fabricant	fabricante
factoriel	factorielle
facteur	factrice
facturier	facturière
faisan	faisane
faiseur	faiseuse
faneur	faneuse
faucheur	faucheuse
fauteur	fauteuse
fauteur	fautrice
façonnier	façonnière
ferronnier	ferronnière
fesseur	fesseuse
figurant	figurante
fileur	fileuse
filleul	filleule
finisseur	finisseuse
flaireur	flaireuse
flambeur	flambeuse
flingueur	flingueuse
fontanel	fontanelle
footballeur	footballeuse
forgeron	forgeronne
fornicateur	fornicatrice
fouetteur	fouetteuse
fourmilier	fourmilière
fraiseur	fraiseuse
franc-maçon	franc-maçonne
frangin	frangine
fribourgeois	fribourgeoise
friteur	friteuse
fumier	fumière
fer	fère
galopin	galopine
gardeur	gardeuse
gentilhommier	gentilhommière
gerbeur	gerbeuse
gerbier	gerbière
geôlier	geôlière
gifleur	gifleuse
glaneur	glaneuse
gobeur	gobeuse
golfeur	golfeuse
gondolier	gondolière
gouin	gouine
graillonneur	graillonneuse
grammairien	grammairienne
grand-papa	grand-maman
grand-duc	grande-duchesse
gredin	gredine
greffier	greffière
greneur	greneuse
grutier	grutière
guetteur	guetteuse
gueux	gueuse
guichetier	guichetière
guérisseur	guérisseuse
géniteur	génitrice
généticien	généticienne
gérant	gérante
gêneur	gêneuse
habilleur	habilleuse
habitant	habitante
hirondeau	hirondelle
historien	historienne
hussard	hussarde
hypnotiseur	hypnotiseuse
héritier	héritière
héros	héroïne
illustrateur	illustratrice
impétrant	impétrante
incantateur	incantatrice
incitateur	incitatrice
infant	infante
informaticien	informaticienne
informateur	informatrice
insomnieux	insomnieuse
inspecteur	inspectrice
instaurateur	instauratrice
instigateur	instigatrice
instituteur	institutrice
intendant	intendante
interlocuteur	interlocutrice
intox	intoxe
jacasseur	jacasseuse
jacassier	jacassière
jeteur	jeteuse
joggeur	joggeuse
jongleur	jongleuse
journaleux	journaleuse
jouteur	jouteuse
jouvenceau	jouvencelle
justicier	justicière
kierkegaardien	kierkegaardienne
kolkhozien	kolkhozienne
laborantin	laborantine
lanceur	lanceuse
lapin	lapine
latino-américain	latino-américaine
laveur	laveuse
lecteur	lectrice
lessiveur	lessiveuse
leveur	leveuse
libre-penseur	libre-penseuse
lieur	lieuse
liftier	liftière
lillois	lilloise
limonadier	limonadière
limonier	limonière
lingotier	lingotière
lion	lionne
livreur	livreuse
locuteur	locutrice
logeur	logeuse
logicien	logicienne
loubard	loubarde
loucheur	loucheuse
loueur	loueuse
loup	louve
luc	luce
luron	luronne
lustreur	lustreuse
lutteur	lutteuse
lycéen	lycéenne
lâcheur	lâcheuse
lécheur	lécheuse
magasinier	magasinière
magistrat	magistrate
maire	mairesse
mal-aimé	mal-aimée
mal-baisé	mal-baisée
mangeur	mangeuse
manieur	manieuse
manifestant	manifestante
manip	manipe
manipulateur	manipulatrice
maquereau	maquerelle
maquilleur	maquilleuse
maquisard	maquisarde
marathonien	marathonienne
maraudeur	maraudeuse
maraîcher	maraîchère
marchandeur	marchandeuse
marcheur	marcheuse
mar	mare
mareyeur	mareyeuse
margeur	margeuse
marian	marianne
marieur	marieuse
marquis	marquise
maréchal	maréchale
masseur	masseuse
matelassier	matelassière
mateur	mateuse
matheux	matheuse
mathématicien	mathématicienne
maton	matonne
maçon	maçonne
mendiant	mendiante
mendigot	mendigote
meneur	meneuse
mercier	mercière
messager	messagère
metteur	metteuse
mi-carrier	mi-carrière
mi-cousin	mi-cousine
minet	minette
miston	mistonne
mitrailleur	mitrailleuse
moissonneur	moissonneuse
momi	momie
moniteur	monitrice
monteur	monteuse
montpelliérain	montpelliéraine
montreur	montreuse
mortaiseur	mortaiseuse
motard	motarde
mystificateur	mystificatrice
mâcheur	mâcheuse
mécanicien	mécanicienne
méger	mégère
métaphysicien	métaphysicienne
nabot	nabote
nageur	nageuse
narrateur	narratrice
naufrageur	naufrageuse
navigateur	navigatrice
nettoyeur	nettoyeuse
neurochirurgien	neurochirurgienne
nigel	nigelle
niveleur	niveleuse
noceur	noceuse
non-voyant	non-voyante
nécromancien	nécromancienne
négociant	négociante
négociateur	négociatrice
obstétricien	obstétricienne
obvers	obverse
officier	officière
oiselier	oiselière
opticien	opticienne
opérateur	opératrice
orant	orante
orateur	oratrice
ours	ourse
ourson	oursonne
ouvreur	ouvreuse
oxonien	oxonienne
palefrenier	palefrenière
panetier	panetière
paon	paonne
parfumeur	parfumeuse
parieur	parieuse
parleur	parleuse
paroissien	paroissienne
parolier	parolière
parpaillot	parpaillote
parqueteur	parqueteuse
parraineur	parraineuse
passementier	passementière
passeur	passeuse
pastoureau	pastourelle
patineur	patineuse
patron	patronne
pelleteur	pelleteuse
pendard	pendarde
penseur	penseuse
perceur	perceuse
perforateur	perforatrice
perruquier	perruquière
pharmacien	pharmacienne
photocopieur	photocopieuse
physicien	physicienne
pilleur	pilleuse
pinardier	pinardière
pion	pionne
pipeur	pipeuse
piégeur	piégeuse
placeur	placeuse
plafonnier	plafonnière
plasticien	plasticienne
plieur	plieuse
plongeur	plongeuse
plumassier	plumassière
poiré	poirée
poivrot	poivrote
polisseur	polisseuse
polytechnicien	polytechnicienne
pom-pom-girl	pom-pom girl
ponceur	ponceuse
porcher	porchère
portier	portière
postulant	postulante
potier	potière
poulain	poulaine
poulard	poularde
poursuivant	poursuivante
pourvoyeur	pourvoyeuse
poète	poétesse
pradel	pradelle
praticien	praticienne
preneur	preneuse
prestidigitateur	prestidigitatrice
prince	princesse
procurateur	procuratrice
procureur	procureuse
professeur	professeure
profileur	profileuse
profiteur	profiteuse
programmeur	programmeuse
promeneur	promeneuse
promoteur	promotrice
prophète	prophétesse
préadolescent	préadolescente
précepteur	préceptrice
préparateur	préparatrice
présentateur	présentatrice
président	présidente
prêcheur	prêcheuse
prêtre	prêtresse
puériculteur	puéricultrice
pâtissier	pâtissière
pèlerin	pèlerine
péquenaud	péquenaude
pétardier	pétardière
pétroleur	pétroleuse
pêcheur	pêcheuse
quasi-fiancé	quasi-fiancée
questionneur	questionneuse
quincaillier	quincaillière
quémandeur	quémandeuse
rabatteur	rabatteuse
racleur	racleuse
raconteur	raconteuse
ramasseur	ramasseuse
randonneur	randonneuse
rappeur	rappeuse
ravisseur	ravisseuse
ravitailleur	ravitailleuse
recréation	re-création
redose	re-dose
refaim	re-faim
regomme	re-gomme
rehygiène	re-hygiène
relettre	re-lettre
remain	re-main
rematérialisation	re-matérialisation
remorphine	re-morphine
reprogrammation	re-programmation
rerigole	re-rigole
restructuration	re-structuration
retaloche	re-taloche
revie	re-vie
rebouteur	rebouteuse
receleur	receleuse
receveur	receveuse
mailleur	remailleuse
remplaçant	remplaçante
renard	renarde
rentier	rentière
renégat	renégate
repasseur	repasseuse
représentant	représentante
requérant	requérante
ressortissant	ressortissante
restaurateur	restauratrice
revendeur	revendeuse
ribot	ribote
rideau	ridelle
rimeur	rimeuse
rip	ripe
rital	ritale
riveteur	riveteuse
rockeur	rockeuse
romancier	romancière
romanichel	romanichelle
rombier	rombière
ronfleur	ronfleuse
roselier	roselière
roteur	roteuse
rotond	rotonde
roubaisien	roubaisienne
roulottier	roulottière
ruché	ruchée
réalisateur	réalisatrice
récitant	récitante
récolteur	récolteuse
récup	récupe
rédacteur	rédactrice
régisseur	régisseuse
répétiteur	répétitrice
rôdeur	rôdeuse
rôtisseur	rôtisseuse
saboteur	saboteuse
sacristain	sacristaine
sandal	sandale
sarcleur	sarcleuse
sauteur	sauteuse
sauvageon	sauvageonne
sauvagin	sauvagine
sauveur	sauveuse
sculpteur	sculptrice
seine	senne
serrurier	serrurière
serveur	serveuse
shampouineur	shampouineuse
shooteur	shooteuse
signor	signora
simulateur	simulatrice
skieur	skieuse
soldat	soldate
solliciteur	solliciteuse
sondeur	sondeuse
sorbonnard	sorbonnarde
sorbon	sorbonne
soudeur	soudeuse
souffleur	souffleuse
souillard	souillarde
sous-directeur	sous-directrice
speaker	speakerine
spectateur	spectatrice
spéculateur	spéculatrice
statisticien	statisticienne
stoppeur	stoppeuse
strip-teaseur	strip-teaseuse
stripteaseur	stripteaseuse
sulfateur	sulfateuse
supporteur	supportrice
surfeur	surfeuse
surintendant	surintendante
jeteur	surjeteuse
surveillant	surveillante
suzerain	suzeraine
sécheur	sécheuse
sénateur	sénatrice
séquanais	séquanaise
tacticien	tacticienne
tapineur	tapineuse
tapissier	tapissière
tartan	tartane
tatoueur	tatoueuse
taulard	taularde
taulier	taulière
teinturier	teinturière
tenancier	tenancière
testeur	testeuse
théoricien	théoricienne
théâtreux	théâtreuse
tigre	tigresse
tireur	tireuse
tisserand	tisserande
tisseur	tisseuse
tombeur	tombeuse
tondeur	tondeuse
tourd	tourde
tourtereau	tourterelle
traducteur	traductrice
trafiquant	trafiquante
tragédien	tragédienne
trancheur	trancheuse
transfigurateur	transfiguratrice
traqueur	traqueuse
trayeur	trayeuse
treizain	treizaine
tricoteur	tricoteuse
trieur	trieuse
tripier	tripière
tripoteur	tripoteuse
trisaïeul	trisaïeule
tronçonneur	tronçonneuse
tropézien	tropézienne
trépané	trépanée
trésorier	trésorière
tsar	tsarine
tuteur	tutrice
tutut	tutute
tzar	tzarine
téléspectateur	téléspectatrice
télétravailleur	télétravailleuse
téter	tétère
tôlard	tôlarde
tôlier	tôlière
usurier	usurière
usurpateur	usurpatrice
utilisateur	utilisatrice
vacancier	vacancière
vadrouilleur	vadrouilleuse
valencien	valencienne
valentin	valentine
valseur	valseuse
vassal	vassale
vaurien	vaurienne
vendeur	vendeuse
verdin	verdine
vespasien	vespasienne
vice-président	vice-présidente
vicomte	vicomtesse
vieillard	vieillarde
vigneron	vigneronne
vingt-et-un	vingt-et-une
vinificateur	vinificatrice
visionneur	visionneuse
visiteur	visiteuse
viticulteur	viticultrice
vivandier	vivandière
voyeur	voyeuse
vérificateur	vérificatrice
wisigoth	wisigothe
youpin	youpine
zonard	zonarde
zozoteur	zozoteuse
zélateur	zélatrice
écailler	écaillère
échotier	échotière
éclaireur	éclaireuse
écolier	écolière
écouteur	écouteuse
écrivain	écrivaine
écrémeur	écrémeuse
écuyer	écuyère
éditeur	éditrice
égreneur	égreneuse
électeur	électrice
électricien	électricienne
éleveur	éleveuse
éléphant	éléphante
épagneul	épagneule
épicier	épicière
épileur	épileuse
épistolier	épistolière
équipier	équipière
érythréen	érythréenne
étiqueteur	étiqueteuse
étuveur	étuveuse
