abbé	abbesse
hospitalisé	hospitalisée
hôte	hôtesse
hypnotiseur	hypnotiseuse
imprimeur	imprimeuse
informateur	informatrice
informaticien	informaticienne
ingénieur	ingénieure
inspecteur	inspectrice
installateur	installatrice
instituteur	institutrice
intervieweur	intervieweuse
jardinier	jardinière
jazzman	jazzwoman
jeûneur	jeûneuse
joaillier	joaillière
joggeur	joggeuse
journaleux	journaleuse
judoka	judokate
karatéka	karatékate
kidnappé	kidnappée
kidnappeur	kidnappeuse
kiosquier	kiosquière
laboureur	laboureuse
lanceur	lanceuse
lapin	lapine
laveur	laveuse
lecteur	lectrice
législateur	législatrice
lièvre	hase
lion	lionne
locuteur	locutrice
loup	louve
luthier	luthière
lycéen	lycéenne
maçon	maçonne
magistrat	magistrate
maïsiculteur	maïsicultrice
mal-aimé	mal-aimée
malfaiteur	malfaitrice
mangeur	mangeuse
manieur	manieuse
maquilleur	maquilleuse
marathonien	marathonienne
marcheur	marcheuse
masseur	masseuse
mécanicien	mécanicienne
mendiant	mendiante
menuisier	menuisière
merle	merlette
messager	messagère
moniteur	monitrice
montreur	montreuse
motard	motarde
mouton	brebis
nageur	nageuse
navigateur	navigatrice
négociateur	négociatrice
nettoyeur	nettoyeuse
officier	officière
ogre	ogresse
opérateur	opératrice
orateur	oratrice
ostréiculteur	ostréicultrice
ours	ourse
palefrenier	palefrenière
panseur	panseuse
parfumeur	parfumeuse
parieur	parieuse
pasteur	pasteure
patineur	patineuse
pâtissier	pâtissière
patron	patronne
pêcheur	pêcheuse
pharmacien	pharmacienne
piégeur	piégeuse
pigeon	pigeonne
pipier	pipière
plaideur	plaideuse
plombier	plombière
plongeur	plongeuse
pochetron	pochetronne
poète	poétesse
poissonnier	poissonnière
poivrot	poivrote
porc	truie
porcher	porchère
poulain	pouliche
poulet	poulette
poursuivant	poursuivante
préfet	préfète
président	présidente
prêtre	prêtresse
prince	princesse
priseur	priseuse
professeur	professeure
promeneur	promeneuse
prophète	prophétesse
questionneur	questionneuse
raccommodeur	raccommodeuse
raconteur	raconteuse
rameur	rameuse
randonneur	randonneuse
rat	rate
ravisseur	ravisseuse
réalisateur	réalisatrice
récoltant	récoltante
récolteur	récolteuse
recordman	recordwoman
recruteur	recruteuse
rédacteur	rédactrice
remplaçant	remplaçante
renard	renarde
répondant	répondante
reporteur	reportrice
représentant	représentante
ressortissant	ressortissante
restaurateur	restauratrice
riverain	riveraine
riziculteur	rizicultrice
rockeur	rockeuse
roi	reine
romancier	romancière
ronfleur	ronfleuse
rugbyman	rugbywoman
saoulard	saoularde
sapeur-pompier	sapeuse-pompière
scieur	scieuse
sculpteur	sculpteure
sculpteur	sculptrice
semeur	semeuse
sénateur	sénatrice
serveur	serveuse
shampouineur	shampouineuse
singe	guenon
skieur	skieuse
soldat	soldate
soudeur	soudeuse
sous-préfet	sous-préfète
spectateur	spectatrice
sprinter	sprinteuse
surveillant	surveillante
tailleur	tailleuse
taulard	taularde
téléspectateur	téléspectatrice
tennisman	tenniswoman
tireur	tireuse
tisseur	tisseuse
toiletteur	toiletteuse
toilier	toilière
traducteur	traductrice
trafiquant	trafiquante
trésorier	trésorière
trieur	trieuse
truand	truande
tueur	tueuse
usager	usagère
utilisateur	utilisatrice
vacancier	vacancière
vacher	vachère
vendeur	vendeuse
vérificateur	vérificatrice
vieillard	vieillarde
vigneron	vigneronne
viniculteur	vinicultrice
visiteur	visiteuse
volleyeur	volleyeuse
